BOROUGH,SCHOOL CODE,SCHOOL NAME,GRADE,PROGRAM TYPE,NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS
M,M015,P.S. 015 Roberto Clemente,0K,GEN ED,19,1,19,19,19
M,M015,P.S. 015 Roberto Clemente,0K,CTT,21,1,21,21,21
M,M015,P.S. 015 Roberto Clemente,1,GEN ED,17,1,17,17,17
M,M015,P.S. 015 Roberto Clemente,1,CTT,17,1,17,17,17
M,M015,P.S. 015 Roberto Clemente,2,GEN ED,15,1,15,15,15
M,M015,P.S. 015 Roberto Clemente,2,CTT,17,1,17,17,17
M,M015,P.S. 015 Roberto Clemente,3,GEN ED,12,1,12,12,12
M,M015,P.S. 015 Roberto Clemente,3,CTT,15,1,15,15,15
M,M015,P.S. 015 Roberto Clemente,4,GEN ED,26,2,13,12,14
M,M015,P.S. 015 Roberto Clemente,5,GEN ED,27,1,27,27,27
M,M015,P.S. 015 Roberto Clemente,0K-09,SPEC ED,9,1,9,9,9
M,M015,P.S. 015 Roberto Clemente,,,,,,,
M,M019,P.S. 019 Asher Levy,0K,GEN ED,39,2,19.5,18,21
M,M019,P.S. 019 Asher Levy,0K,CTT,12,1,12,12,12
M,M019,P.S. 019 Asher Levy,1,GEN ED,39,2,19.5,19,20
M,M019,P.S. 019 Asher Levy,1,CTT,13,1,13,13,13
M,M019,P.S. 019 Asher Levy,2,GEN ED,46,2,23,22,24
M,M019,P.S. 019 Asher Levy,3,GEN ED,35,2,17.5,17,18
M,M019,P.S. 019 Asher Levy,4,GEN ED,22,1,22,22,22
M,M019,P.S. 019 Asher Levy,4,CTT,24,1,24,24,24
M,M019,P.S. 019 Asher Levy,5,GEN ED,22,1,22,22,22
M,M019,P.S. 019 Asher Levy,5,CTT,21,1,21,21,21
M,M019,P.S. 019 Asher Levy,0K-09,SPEC ED,7,1,7,7,7
M,M019,P.S. 019 Asher Levy,0K-09,SPEC ED,11,1,11,11,11
M,M019,P.S. 019 Asher Levy,,,,,,,
M,M020,P.S. 020 Anna Silver,0K,GEN ED,89,4,22.3,20,23
M,M020,P.S. 020 Anna Silver,0K,CTT,22,1,22,22,22
M,M020,P.S. 020 Anna Silver,1,GEN ED,69,3,23,22,24
M,M020,P.S. 020 Anna Silver,1,CTT,21,1,21,21,21
M,M020,P.S. 020 Anna Silver,2,GEN ED,55,3,18.3,16,21
M,M020,P.S. 020 Anna Silver,2,CTT,22,1,22,22,22
M,M020,P.S. 020 Anna Silver,3,GEN ED,57,3,19,17,20
M,M020,P.S. 020 Anna Silver,3,CTT,22,1,22,22,22
M,M020,P.S. 020 Anna Silver,4,GEN ED,70,3,23.3,23,24
M,M020,P.S. 020 Anna Silver,4,CTT,24,1,24,24,24
M,M020,P.S. 020 Anna Silver,5,GEN ED,57,2,28.5,28,29
M,M020,P.S. 020 Anna Silver,5,CTT,29,1,29,29,29
M,M020,P.S. 020 Anna Silver,0K-09,SPEC ED,34,3,11.3,11,12
M,M020,P.S. 020 Anna Silver,,,,,,,
M,M034,P.S. 034 Franklin D. Roosevelt,0K,GEN ED,26,2,13,12,14
M,M034,P.S. 034 Franklin D. Roosevelt,1,GEN ED,16,1,16,16,16
M,M034,P.S. 034 Franklin D. Roosevelt,1,CTT,14,1,14,14,14
M,M034,P.S. 034 Franklin D. Roosevelt,2,GEN ED,24,1,24,24,24
M,M034,P.S. 034 Franklin D. Roosevelt,2,CTT,20,1,20,20,20
M,M034,P.S. 034 Franklin D. Roosevelt,3,GEN ED,15,1,15,15,15
M,M034,P.S. 034 Franklin D. Roosevelt,3,CTT,14,1,14,14,14
M,M034,P.S. 034 Franklin D. Roosevelt,4,GEN ED,18,1,18,18,18
M,M034,P.S. 034 Franklin D. Roosevelt,4,CTT,19,1,19,19,19
M,M034,P.S. 034 Franklin D. Roosevelt,5,GEN ED,19,1,19,19,19
M,M034,P.S. 034 Franklin D. Roosevelt,5,CTT,19,1,19,19,19
M,M034,P.S. 034 Franklin D. Roosevelt,6,GEN ED,26,1,26,26,26
M,M034,P.S. 034 Franklin D. Roosevelt,6,CTT,27,1,27,27,27
M,M034,P.S. 034 Franklin D. Roosevelt,7,GEN ED,25,1,25,25,25
M,M034,P.S. 034 Franklin D. Roosevelt,7,CTT,27,1,27,27,27
M,M034,P.S. 034 Franklin D. Roosevelt,8,GEN ED,23,1,23,23,23
M,M034,P.S. 034 Franklin D. Roosevelt,8,CTT,25,1,25,25,25
M,M034,P.S. 034 Franklin D. Roosevelt,0K-09,SPEC ED,20,2,10,8,12
M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,GEN ED,76,3,25.3,25,26
M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,GEN ED,76,3,25.3,25,26
M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,GEN ED,76,3,25.3,25,26
M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,GEN ED,76,3,25.3,25,26
M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,CTT,77,3,25.7,22,28
M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,CTT,77,3,25.7,22,28
M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,CTT,77,3,25.7,22,28
M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,CTT,77,3,25.7,22,28
M,M034,P.S. 034 Franklin D. Roosevelt,,,,,,,
M,M063,P.S. 063 William McKinley,0K,GEN ED,14,1,14,14,14
M,M063,P.S. 063 William McKinley,0K,CTT,15,1,15,15,15
M,M063,P.S. 063 William McKinley,1,CTT,23,1,23,23,23
M,M063,P.S. 063 William McKinley,2,CTT,25,1,25,25,25
M,M063,P.S. 063 William McKinley,3,GEN ED,10,1,10,10,10
M,M063,P.S. 063 William McKinley,3,CTT,14,1,14,14,14
M,M063,P.S. 063 William McKinley,4,CTT,21,1,21,21,21
M,M063,P.S. 063 William McKinley,5,GEN ED,17,1,17,17,17
M,M063,P.S. 063 William McKinley,5,CTT,18,1,18,18,18
M,M063,P.S. 063 William McKinley,0K-09,SPEC ED,7,1,7,7,7
M,M063,P.S. 063 William McKinley,,,,,,,
M,M064,P.S. 064 Robert Simon,0K,GEN ED,23,1,23,23,23
M,M064,P.S. 064 Robert Simon,0K,CTT,27,1,27,27,27
M,M064,P.S. 064 Robert Simon,1,GEN ED,24,1,24,24,24
M,M064,P.S. 064 Robert Simon,1,CTT,20,1,20,20,20
M,M064,P.S. 064 Robert Simon,2,GEN ED,20,1,20,20,20
M,M064,P.S. 064 Robert Simon,2,CTT,20,1,20,20,20
M,M064,P.S. 064 Robert Simon,3,GEN ED,17,1,17,17,17
M,M064,P.S. 064 Robert Simon,3,CTT,16,1,16,16,16
M,M064,P.S. 064 Robert Simon,4,GEN ED,23,1,23,23,23
M,M064,P.S. 064 Robert Simon,4,CTT,22,1,22,22,22
M,M064,P.S. 064 Robert Simon,5,CTT,51,2,25.5,25,26
M,M064,P.S. 064 Robert Simon,0K-09,SPEC ED,19,2,9.5,9,10
M,M064,P.S. 064 Robert Simon,,,,,,,
M,M110,P.S. 110 Florence Nightingale,0K,GEN ED,45,2,22.5,20,25
M,M110,P.S. 110 Florence Nightingale,0K,CTT,28,1,28,28,28
M,M110,P.S. 110 Florence Nightingale,1,GEN ED,45,2,22.5,22,23
M,M110,P.S. 110 Florence Nightingale,1,CTT,22,1,22,22,22
M,M110,P.S. 110 Florence Nightingale,2,GEN ED,39,2,19.5,14,25
M,M110,P.S. 110 Florence Nightingale,2,CTT,19,1,19,19,19
M,M110,P.S. 110 Florence Nightingale,3,GEN ED,52,2,26,23,29
M,M110,P.S. 110 Florence Nightingale,3,CTT,19,1,19,19,19
M,M110,P.S. 110 Florence Nightingale,4,GEN ED,46,2,23,23,23
M,M110,P.S. 110 Florence Nightingale,4,CTT,22,1,22,22,22
M,M110,P.S. 110 Florence Nightingale,5,GEN ED,28,1,28,28,28
M,M110,P.S. 110 Florence Nightingale,5,CTT,27,1,27,27,27
M,M110,P.S. 110 Florence Nightingale,0K-09,SPEC ED,10,1,10,10,10
M,M110,P.S. 110 Florence Nightingale,,,,,,,
M,M134,P.S. 134 Henrietta Szold,0K,GEN ED,55,3,18.3,17,19
M,M134,P.S. 134 Henrietta Szold,1,GEN ED,54,3,18,14,21
M,M134,P.S. 134 Henrietta Szold,2,GEN ED,39,2,19.5,19,20
M,M134,P.S. 134 Henrietta Szold,2,CTT,21,1,21,21,21
M,M134,P.S. 134 Henrietta Szold,3,GEN ED,54,3,18,15,22
M,M134,P.S. 134 Henrietta Szold,4,GEN ED,39,2,19.5,19,20
M,M134,P.S. 134 Henrietta Szold,5,GEN ED,55,2,27.5,25,30
M,M134,P.S. 134 Henrietta Szold,0K-09,SPEC ED,27,3,9,7,12
M,M134,P.S. 134 Henrietta Szold,,,,,,,
M,M137,P.S. 137 John L. Bernstein,0K,GEN ED,43,2,21.5,20,23
M,M137,P.S. 137 John L. Bernstein,1,GEN ED,35,2,17.5,14,21
M,M137,P.S. 137 John L. Bernstein,2,GEN ED,22,1,22,22,22
M,M137,P.S. 137 John L. Bernstein,3,GEN ED,33,2,16.5,15,18
M,M137,P.S. 137 John L. Bernstein,4,GEN ED,14,1,14,14,14
M,M137,P.S. 137 John L. Bernstein,4,CTT,19,1,19,19,19
M,M137,P.S. 137 John L. Bernstein,5,GEN ED,24,1,24,24,24
M,M137,P.S. 137 John L. Bernstein,0K-09,SPEC ED,29,3,9.7,8,11
M,M137,P.S. 137 John L. Bernstein,,,,,,,
M,M140,P.S. 140 Nathan Straus,0K,GEN ED,34,2,17,17,17
M,M140,P.S. 140 Nathan Straus,1,GEN ED,20,1,20,20,20
M,M140,P.S. 140 Nathan Straus,2,CTT,22,1,22,22,22
M,M140,P.S. 140 Nathan Straus,3,GEN ED,25,1,25,25,25
M,M140,P.S. 140 Nathan Straus,4,GEN ED,14,1,14,14,14
M,M140,P.S. 140 Nathan Straus,4,CTT,13,1,13,13,13
M,M140,P.S. 140 Nathan Straus,5,GEN ED,31,1,31,31,31
M,M140,P.S. 140 Nathan Straus,6,GEN ED,32,1,32,32,32
M,M140,P.S. 140 Nathan Straus,6,CTT,30,1,30,30,30
M,M140,P.S. 140 Nathan Straus,7,GEN ED,55,2,27.5,27,28
M,M140,P.S. 140 Nathan Straus,8,GEN ED,59,2,29.5,29,30
M,M140,P.S. 140 Nathan Straus,0K-09,SPEC ED,6,1,6,6,6
M,M140,P.S. 140 Nathan Straus,0K-09,SPEC ED,22,3,7.3,6,8
M,M140,P.S. 140 Nathan Straus,MS Core,GEN ED,145,5,29,27,32
M,M140,P.S. 140 Nathan Straus,MS Core,GEN ED,145,5,29,27,32
M,M140,P.S. 140 Nathan Straus,MS Core,GEN ED,145,5,29,27,32
M,M140,P.S. 140 Nathan Straus,MS Core,GEN ED,86,3,28.7,27,32
M,M140,P.S. 140 Nathan Straus,MS Core,GEN ED,59,2,29.5,28,31
M,M140,P.S. 140 Nathan Straus,MS Core,CTT,30,1,30,30,30
M,M140,P.S. 140 Nathan Straus,MS Core,CTT,30,1,30,30,30
M,M140,P.S. 140 Nathan Straus,MS Core,CTT,30,1,30,30,30
M,M140,P.S. 140 Nathan Straus,MS Core,CTT,30,1,30,30,30
M,M140,P.S. 140 Nathan Straus,,,,,,,
M,M142,P.S. 142 Amalia Castro,0K,GEN ED,42,2,21,19,23
M,M142,P.S. 142 Amalia Castro,0K,CTT,19,1,19,19,19
M,M142,P.S. 142 Amalia Castro,1,GEN ED,46,2,23,22,24
M,M142,P.S. 142 Amalia Castro,1,CTT,20,1,20,20,20
M,M142,P.S. 142 Amalia Castro,2,GEN ED,25,1,25,25,25
M,M142,P.S. 142 Amalia Castro,2,CTT,22,1,22,22,22
M,M142,P.S. 142 Amalia Castro,3,GEN ED,41,2,20.5,20,21
M,M142,P.S. 142 Amalia Castro,3,CTT,19,1,19,19,19
M,M142,P.S. 142 Amalia Castro,4,GEN ED,45,2,22.5,22,23
M,M142,P.S. 142 Amalia Castro,4,CTT,18,1,18,18,18
M,M142,P.S. 142 Amalia Castro,5,GEN ED,45,2,22.5,22,23
M,M142,P.S. 142 Amalia Castro,5,CTT,22,1,22,22,22
M,M142,P.S. 142 Amalia Castro,0K-09,SPEC ED,20,2,10,9,11
M,M142,P.S. 142 Amalia Castro,0K-09,SPEC ED,12,1,12,12,12
M,M142,P.S. 142 Amalia Castro,,,,,,,
M,M184,P.S. 184m Shuang Wen,0K,GEN ED,77,3,25.7,25,26
M,M184,P.S. 184m Shuang Wen,0K,CTT,23,1,23,23,23
M,M184,P.S. 184m Shuang Wen,1,GEN ED,74,3,24.7,24,25
M,M184,P.S. 184m Shuang Wen,1,CTT,22,1,22,22,22
M,M184,P.S. 184m Shuang Wen,2,GEN ED,74,3,24.7,24,25
M,M184,P.S. 184m Shuang Wen,3,GEN ED,66,3,22,22,22
M,M184,P.S. 184m Shuang Wen,4,GEN ED,73,3,24.3,24,25
M,M184,P.S. 184m Shuang Wen,5,GEN ED,68,2,34,34,34
M,M184,P.S. 184m Shuang Wen,6,GEN ED,57,2,28.5,28,29
M,M184,P.S. 184m Shuang Wen,7,GEN ED,53,2,26.5,26,27
M,M184,P.S. 184m Shuang Wen,8,GEN ED,54,2,27,26,28
M,M184,P.S. 184m Shuang Wen,MS Core,GEN ED,164,6,27.3,26,29
M,M184,P.S. 184m Shuang Wen,MS Core,GEN ED,121,5,24.2,11,29
M,M184,P.S. 184m Shuang Wen,MS Core,GEN ED,36,2,18,15,21
M,M184,P.S. 184m Shuang Wen,MS Core,GEN ED,137,5,27.4,26,29
M,M184,P.S. 184m Shuang Wen,MS Core,GEN ED,27,1,27,27,27
M,M184,P.S. 184m Shuang Wen,MS Core,GEN ED,138,5,27.6,26,29
M,M184,P.S. 184m Shuang Wen,MS Core,GEN ED,26,1,26,26,26
M,M184,P.S. 184m Shuang Wen,,,,,,,
M,M188,P.S. 188 The Island School,0K,GEN ED,22,1,22,22,22
M,M188,P.S. 188 The Island School,1,GEN ED,19,1,19,19,19
M,M188,P.S. 188 The Island School,2,GEN ED,20,1,20,20,20
M,M188,P.S. 188 The Island School,3,GEN ED,25,1,25,25,25
M,M188,P.S. 188 The Island School,4,CTT,24,1,24,24,24
M,M188,P.S. 188 The Island School,5,GEN ED,26,1,26,26,26
M,M188,P.S. 188 The Island School,5,CTT,25,1,25,25,25
M,M188,P.S. 188 The Island School,6,GEN ED,25,1,25,25,25
M,M188,P.S. 188 The Island School,6,CTT,22,1,22,22,22
M,M188,P.S. 188 The Island School,7,GEN ED,23,1,23,23,23
M,M188,P.S. 188 The Island School,7,CTT,26,1,26,26,26
M,M188,P.S. 188 The Island School,8,GEN ED,23,1,23,23,23
M,M188,P.S. 188 The Island School,8,CTT,26,1,26,26,26
M,M188,P.S. 188 The Island School,0K-09,SPEC ED,11,1,11,11,11
M,M188,P.S. 188 The Island School,MS Core,GEN ED,67,3,22.3,21,24
M,M188,P.S. 188 The Island School,MS Core,GEN ED,67,3,22.3,21,24
M,M188,P.S. 188 The Island School,MS Core,GEN ED,67,3,22.3,21,24
M,M188,P.S. 188 The Island School,MS Core,GEN ED,67,3,22.3,21,24
M,M188,P.S. 188 The Island School,MS Core,CTT,71,3,23.7,21,26
M,M188,P.S. 188 The Island School,MS Core,CTT,71,3,23.7,21,26
M,M188,P.S. 188 The Island School,MS Core,CTT,71,3,23.7,21,26
M,M188,P.S. 188 The Island School,MS Core,CTT,71,3,23.7,21,26
M,M188,P.S. 188 The Island School,MS Core,SPEC ED,13,1,13,13,13
M,M188,P.S. 188 The Island School,MS Core,SPEC ED,13,1,13,13,13
M,M188,P.S. 188 The Island School,MS Core,SPEC ED,13,1,13,13,13
M,M188,P.S. 188 The Island School,MS Core,SPEC ED,13,1,13,13,13
M,M188,P.S. 188 The Island School,,,,,,,
M,M292,Henry Street School for International Studies,6,CTT,21,1,21,21,21
M,M292,Henry Street School for International Studies,7,GEN ED,20,1,20,20,20
M,M292,Henry Street School for International Studies,7,CTT,19,1,19,19,19
M,M292,Henry Street School for International Studies,8,GEN ED,47,2,23.5,23,24
M,M292,Henry Street School for International Studies,0K-09,SPEC ED,6,1,6,6,6
M,M292,Henry Street School for International Studies,0K-09,SPEC ED,7,1,7,7,7
M,M292,Henry Street School for International Studies,MS Core,GEN ED,85,4,21.3,19,24
M,M292,Henry Street School for International Studies,MS Core,GEN ED,39,2,19.5,19,20
M,M292,Henry Street School for International Studies,MS Core,GEN ED,45,2,22.5,21,24
M,M292,Henry Street School for International Studies,MS Core,GEN ED,39,2,19.5,19,20
M,M292,Henry Street School for International Studies,MS Core,GEN ED,46,2,23,22,24
M,M292,Henry Street School for International Studies,MS Core,GEN ED,61,3,20.3,19,22
M,M292,Henry Street School for International Studies,MS Core,GEN ED,36,2,18,12,24
M,M292,Henry Street School for International Studies,MS Core,CTT,21,1,21,21,21
M,M292,Henry Street School for International Studies,MS Core,CTT,21,1,21,21,21
M,M292,Henry Street School for International Studies,MS Core,CTT,21,1,21,21,21
M,M292,Henry Street School for International Studies,MS Core,CTT,21,1,21,21,21
M,M292,Henry Street School for International Studies,MS Core,SPEC ED,7,1,7,7,7
M,M292,Henry Street School for International Studies,12-Sep,GEN ED,63,3,21,19,25
M,M292,Henry Street School for International Studies,12-Sep,GEN ED,79,3,26.3,24,31
M,M292,Henry Street School for International Studies,12-Sep,GEN ED,38,2,19,16,22
M,M292,Henry Street School for International Studies,12-Sep,GEN ED,69,3,23,13,30
M,M292,Henry Street School for International Studies,12-Sep,GEN ED,53,3,17.7,16,21
M,M292,Henry Street School for International Studies,12-Sep,GEN ED,32,1,32,32,32
M,M292,Henry Street School for International Studies,12-Sep,GEN ED,118,6,19.7,13,27
M,M292,Henry Street School for International Studies,12-Sep,GEN ED,125,4,31.3,28,35
M,M292,Henry Street School for International Studies,12-Sep,GEN ED,58,2,29,29,29
M,M292,Henry Street School for International Studies,12-Sep,GEN ED,157,8,19.6,13,24
M,M292,Henry Street School for International Studies,12-Sep,GEN ED,13,1,13,13,13
M,M292,Henry Street School for International Studies,12-Sep,GEN ED,85,4,21.3,18,24
M,M292,Henry Street School for International Studies,12-Sep,GEN ED,156,7,22.3,10,31
M,M292,Henry Street School for International Studies,12-Sep,GEN ED,186,9,20.7,15,28
M,M292,Henry Street School for International Studies,12-Sep,CTT,30,1,30,30,30
M,M292,Henry Street School for International Studies,12-Sep,CTT,27,1,27,27,27
M,M292,Henry Street School for International Studies,12-Sep,CTT,44,2,22,20,24
M,M292,Henry Street School for International Studies,12-Sep,CTT,31,1,31,31,31
M,M292,Henry Street School for International Studies,12-Sep,CTT,64,2,32,32,32
M,M292,Henry Street School for International Studies,12-Sep,CTT,112,4,28,27,29
M,M292,Henry Street School for International Studies,12-Sep,CTT,25,1,25,25,25
M,M292,Henry Street School for International Studies,12-Sep,CTT,61,3,20.3,13,29
M,M292,Henry Street School for International Studies,12-Sep,SPEC ED,15,1,15,15,15
M,M292,Henry Street School for International Studies,12-Sep,SPEC ED,15,1,15,15,15
M,M292,Henry Street School for International Studies,12-Sep,SPEC ED,30,2,15,15,15
M,M292,Henry Street School for International Studies,12-Sep,SPEC ED,14,1,14,14,14
M,M292,Henry Street School for International Studies,,,,,,,
M,M315,The East Village Community School,0K,GEN ED,14,1,14,14,14
M,M315,The East Village Community School,0K,CTT,20,1,20,20,20
M,M315,The East Village Community School,1,GEN ED,22,1,22,22,22
M,M315,The East Village Community School,1,CTT,24,1,24,24,24
M,M315,The East Village Community School,2,CTT,24,2,12,9,15
M,M315,The East Village Community School,3,GEN ED,17,1,17,17,17
M,M315,The East Village Community School,3,CTT,12,1,12,12,12
M,M315,The East Village Community School,4,GEN ED,14,1,14,14,14
M,M315,The East Village Community School,4,CTT,8,1,8,8,8
M,M315,The East Village Community School,5,CTT,12,1,12,12,12
M,M315,The East Village Community School,0K-09,SPEC ED,8,1,8,8,8
M,M315,The East Village Community School,,,,,,,
M,M332,University Neighborhood Middle School,6,GEN ED,24,1,24,24,24
M,M332,University Neighborhood Middle School,7,CTT,23,1,23,23,23
M,M332,University Neighborhood Middle School,8,GEN ED,53,2,26.5,24,29
M,M332,University Neighborhood Middle School,0K-09,SPEC ED,10,1,10,10,10
M,M332,University Neighborhood Middle School,0K-09,SPEC ED,11,1,11,11,11
M,M332,University Neighborhood Middle School,MS Core,GEN ED,72,3,24,22,27
M,M332,University Neighborhood Middle School,MS Core,GEN ED,72,3,24,22,27
M,M332,University Neighborhood Middle School,MS Core,CTT,22,1,22,22,22
M,M332,University Neighborhood Middle School,MS Core,CTT,22,1,22,22,22
M,M332,University Neighborhood Middle School,MS Core,SPEC ED,22,2,11,10,12
M,M332,University Neighborhood Middle School,MS Core,SPEC ED,22,2,11,10,12
M,M332,University Neighborhood Middle School,12-Sep,GEN ED,20,1,20,20,20
M,M332,University Neighborhood Middle School,12-Sep,GEN ED,72,3,24,22,27
M,M332,University Neighborhood Middle School,12-Sep,CTT,22,1,22,22,22
M,M332,University Neighborhood Middle School,12-Sep,CTT,22,1,22,22,22
M,M332,University Neighborhood Middle School,12-Sep,SPEC ED,21,2,10.5,10,11
M,M332,University Neighborhood Middle School,12-Sep,SPEC ED,22,2,11,10,12
M,M332,University Neighborhood Middle School,,,,,,,
M,M361,The Children's Workshop School,0K,GEN ED,43,2,21.5,21,22
M,M361,The Children's Workshop School,1,GEN ED,43,3,14.3,9,23
M,M361,The Children's Workshop School,2,GEN ED,43,3,14.3,10,19
M,M361,The Children's Workshop School,3,GEN ED,20,3,6.7,5,9
M,M361,The Children's Workshop School,4,GEN ED,28,3,9.3,8,11
M,M361,The Children's Workshop School,5,CTT,34,1,34,34,34
M,M361,The Children's Workshop School,0K-09,SPEC ED,7,1,7,7,7
M,M361,The Children's Workshop School,0K-09,SPEC ED,8,1,8,8,8
M,M361,The Children's Workshop School,,,,,,,
M,M363,Neighborhood School,0K,GEN ED,45,3,15,11,22
M,M363,Neighborhood School,1,GEN ED,38,3,12.7,11,14
M,M363,Neighborhood School,1,CTT,12,1,12,12,12
M,M363,Neighborhood School,2,GEN ED,37,3,12.3,11,14
M,M363,Neighborhood School,2,CTT,13,1,13,13,13
M,M363,Neighborhood School,3,GEN ED,40,2,20,20,20
M,M363,Neighborhood School,4,GEN ED,35,3,11.7,10,14
M,M363,Neighborhood School,4,CTT,13,1,13,13,13
M,M363,Neighborhood School,5,GEN ED,41,3,13.7,13,15
M,M363,Neighborhood School,5,CTT,12,1,12,12,12
M,M363,Neighborhood School,0K-09,SPEC ED,14,3,4.7,3,7
M,M363,Neighborhood School,,,,,,,
M,M364,Earth School,0K,GEN ED,60,3,20,19,21
M,M364,Earth School,3,GEN ED,43,2,21.5,21,22
M,M364,Earth School,0K-09,SPEC ED,19,2,9.5,9,10
M,M364,Earth School,,,,,,,
M,M378,School for Global Leaders,6,GEN ED,75,3,25,24,26
M,M378,School for Global Leaders,6,CTT,23,1,23,23,23
M,M378,School for Global Leaders,7,GEN ED,66,3,22,19,24
M,M378,School for Global Leaders,8,GEN ED,66,3,22,19,24
M,M378,School for Global Leaders,0K-09,SPEC ED,12,1,12,12,12
M,M378,School for Global Leaders,0K-09,SPEC ED,20,2,10,10,10
M,M378,School for Global Leaders,MS Core,GEN ED,33,1,33,33,33
M,M378,School for Global Leaders,12-Sep,GEN ED,33,1,33,33,33
M,M378,School for Global Leaders,,,,,,,
M,M448,University Neighborhood High School,12-Sep,GEN ED,53,3,17.7,13,27
M,M448,University Neighborhood High School,12-Sep,GEN ED,83,5,16.6,10,26
M,M448,University Neighborhood High School,12-Sep,GEN ED,85,4,21.3,16,26
M,M448,University Neighborhood High School,12-Sep,GEN ED,122,6,20.3,13,29
M,M448,University Neighborhood High School,12-Sep,GEN ED,142,6,23.7,17,31
M,M448,University Neighborhood High School,12-Sep,GEN ED,18,1,18,18,18
M,M448,University Neighborhood High School,12-Sep,GEN ED,175,7,25,19,29
M,M448,University Neighborhood High School,12-Sep,GEN ED,25,1,25,25,25
M,M448,University Neighborhood High School,12-Sep,GEN ED,38,2,19,19,19
M,M448,University Neighborhood High School,12-Sep,GEN ED,264,10,26.4,24,32
M,M448,University Neighborhood High School,12-Sep,GEN ED,108,4,27,23,31
M,M448,University Neighborhood High School,12-Sep,GEN ED,46,2,23,23,23
M,M448,University Neighborhood High School,12-Sep,GEN ED,58,2,29,29,29
M,M448,University Neighborhood High School,12-Sep,GEN ED,277,14,19.8,12,27
M,M448,University Neighborhood High School,12-Sep,GEN ED,108,5,21.6,15,32
M,M448,University Neighborhood High School,12-Sep,GEN ED,89,4,22.3,16,29
M,M448,University Neighborhood High School,12-Sep,CTT,25,1,25,25,25
M,M448,University Neighborhood High School,12-Sep,CTT,28,1,28,28,28
M,M448,University Neighborhood High School,12-Sep,CTT,77,3,25.7,21,32
M,M448,University Neighborhood High School,12-Sep,CTT,102,4,25.5,23,28
M,M448,University Neighborhood High School,12-Sep,CTT,303,12,25.3,22,29
M,M448,University Neighborhood High School,12-Sep,CTT,98,4,24.5,18,31
M,M448,University Neighborhood High School,12-Sep,CTT,81,3,27,23,29
M,M448,University Neighborhood High School,12-Sep,CTT,217,8,27.1,21,33
M,M448,University Neighborhood High School,12-Sep,CTT,50,2,25,20,30
M,M448,University Neighborhood High School,12-Sep,CTT,30,1,30,30,30
M,M448,University Neighborhood High School,,,,,,,
M,M450,East Side Community School,6,GEN ED,58,6,9.7,8,12
M,M450,East Side Community School,6,CTT,5,1,5,5,5
M,M450,East Side Community School,7,GEN ED,46,5,9.2,7,11
M,M450,East Side Community School,7,CTT,16,2,8,5,11
M,M450,East Side Community School,8,GEN ED,42,5,8.4,6,10
M,M450,East Side Community School,8,CTT,20,2,10,10,10
M,M450,East Side Community School,0K-09,SPEC ED,9,1,9,9,9
M,M450,East Side Community School,0K-09,SPEC ED,5,1,5,5,5
M,M450,East Side Community School,MS Core,GEN ED,118,7,16.9,15,19
M,M450,East Side Community School,MS Core,GEN ED,97,6,16.2,12,18
M,M450,East Side Community School,MS Core,GEN ED,81,5,16.2,15,17
M,M450,East Side Community School,MS Core,CTT,85,5,17,16,18
M,M450,East Side Community School,MS Core,CTT,102,6,17,14,20
M,M450,East Side Community School,MS Core,CTT,47,3,15.7,15,16
M,M450,East Side Community School,12-Sep,GEN ED,51,2,25.5,23,28
M,M450,East Side Community School,12-Sep,GEN ED,66,3,22,20,23
M,M450,East Side Community School,12-Sep,GEN ED,79,4,19.8,19,22
M,M450,East Side Community School,12-Sep,GEN ED,35,2,17.5,17,18
M,M450,East Side Community School,12-Sep,GEN ED,51,3,17,11,22
M,M450,East Side Community School,12-Sep,GEN ED,48,2,24,23,25
M,M450,East Side Community School,12-Sep,GEN ED,21,1,21,21,21
M,M450,East Side Community School,12-Sep,GEN ED,20,1,20,20,20
M,M450,East Side Community School,12-Sep,GEN ED,68,3,22.7,17,26
M,M450,East Side Community School,12-Sep,GEN ED,47,2,23.5,23,24
M,M450,East Side Community School,12-Sep,GEN ED,92,4,23,22,24
M,M450,East Side Community School,12-Sep,GEN ED,76,4,19,17,21
M,M450,East Side Community School,12-Sep,GEN ED,130,6,21.7,17,27
M,M450,East Side Community School,12-Sep,GEN ED,58,3,19.3,19,20
M,M450,East Side Community School,12-Sep,GEN ED,22,1,22,22,22
M,M450,East Side Community School,12-Sep,CTT,48,2,24,22,26
M,M450,East Side Community School,12-Sep,CTT,24,1,24,24,24
M,M450,East Side Community School,12-Sep,CTT,21,1,21,21,21
M,M450,East Side Community School,12-Sep,CTT,42,2,21,21,21
M,M450,East Side Community School,12-Sep,CTT,44,2,22,19,25
M,M450,East Side Community School,12-Sep,CTT,72,3,24,23,25
